UCI,UCI_version
2b3029bc-0e73-4460-8d22-35cec03273a7,2
d36fc91f-185e-47dc-9b01-13db2132217e,1
cd33784e-7da7-445f-9e59-ae6b6005454c,3
2f6ac666-afd0-4518-9b04-78d752095321,1
0db2b5b9-48f7-4890-a4fa-4a0967b05a94,1
f085bb3e-5776-4a8d-a3fe-8ffab276ecd5,3
293e54e6-2a79-47de-ae19-0f951666f3fb,1
f76397a7-447d-4e55-91f1-942a8b287cea,1
74842615-6ce3-4ac3-9e14-ef7730873cf3,3
8d98c424-225b-4cb0-8045-a90658b745d2,1
0c6907e1-db71-49b9-bfc3-3fa06ab8e884,1
36d9ece3-1261-4465-bbf1-7d2de4418da5,1
0e495329-6914-480f-87a1-dc86fbf53e67,4
d87eda15-49b3-4046-b645-83f659d454aa,4
01492f46-9b09-44f1-ae86-62b2a0f2b491,2
13fd4e73-970a-4c15-a109-143f33f6fd25,2
23f2b2ed-e572-490d-90cb-e0cad2f79f2f,1
0d20b72e-f2cc-4e18-bbbf-be847cd07701,1
67b6c29d-e117-44f6-a853-2031ecb0da17,2
77e95c31-6ca2-463c-8782-e5908681e7b8,1
e7c075be-2353-4548-819a-076f19006c05,5
cfa2570e-1187-47c7-9135-853364bde758,1
d415c95c-a8a8-4f68-aec6-ab721131769c,6
eea7c198-e700-4ba2-bf2a-9768c71f29f0,2
a8b2397b-a576-40e4-a134-c83647150b5c,1
0e92e73b-7e7e-4ff2-befc-f58590f0e78c,2
4f17d313-b486-413d-9051-2de87263f5bf,2
a1943e20-6be9-4b36-ab85-cd09114cc391,6
4dc925e4-8e6f-4e6f-8675-f8fee7bbbcee,1
f4430d34-e144-419c-bf12-a20d3628fa80,1
d81060b0-dbc9-43b6-a005-a858575ea139,3
f7638b3b-b939-4a8f-a74e-a75e3200b3ce,1
d67293f0-187d-48af-b4e5-e4a688abb17c,2
2b6da736-12a3-431f-b987-b60e6426e2cf,2
65a2b4a9-15f7-4f30-86d9-3c9e017a1882,1
2500c931-f9ef-43fa-88be-46b283785a78,1
ded21b03-c808-4fa0-9957-4bb4770ac17d,1
aba3432b-7123-4178-b461-fbe2589dab28,3
1faef02e-7b2f-4eef-8d1a-7eafd12841cd,1
2f6ebeb0-ee35-4fc3-be32-03082d331b2a,4
785c0ee6-9565-414c-9e5f-94a3e1bf9869,2
95582f5b-eaa9-4d76-8066-4988bdda5bfe,2
3a33ff29-bc99-4a5a-86c2-36eb5fc3b596,3
ca6d1c5b-4b25-4dfc-9b17-14b458b67da2,1
aa5a09d9-6e2a-4411-b4d8-008bcd2aa9d6,2
74073ba1-df7e-4700-a3d8-7431e80ed260,2
1fb62af8-7575-4176-9f38-7cefc9caaa37,1
d57c1db8-9fdb-444d-9964-55ddb0cdc3b6,1
12224768-b49a-4f16-866e-4f5a0058eba2,1
b1c044e4-26d2-42b4-8a48-f0338370b4b8,3
74633bdd-773e-468e-b2b7-9da7abe9c859,1
e3e79180-641b-4999-ac10-c45f2339e041,7
f7396185-4deb-441f-9617-2f382460880d,1
92fe90df-c690-43f3-b5ef-85a4c45aaf2e,1
c0ff3630-00bd-4515-8bbe-cc1173804857,1
3efab1ae-b606-4362-9534-9ae5a999da56,3
efc58787-ac11-44d6-99d4-c11f01257cf4,1
70b96743-a414-4ba4-86e8-1e4019ca392a,1
1bdbaad8-35bd-4269-87ad-dd45f60ff39f,2
973ec9dd-d8f8-4bf6-bf6e-c94e7b355af4,2
f321e529-97d3-4d63-882a-9498287ecc39,2
409720ae-f1d2-4e85-a5b0-63d9452d624d,2
52b5ea49-a042-4d3c-8b94-e03c35e55a61,2
53a8f614-1145-4530-83d6-a1906865793e,2
d0436f2d-e4e3-40b0-89d0-5dd0ae0f095d,3
7a7b74a1-3327-4247-94cb-375b0795e987,2
aa97fde8-d13f-4c24-b9b5-2bd807a3aa5d,3
d2855b28-fd12-4dfd-b231-475cf6732f23,1
d5301e1c-3c4a-413b-8257-7ea9ef283bbb,1
7a9d3644-77a0-43be-8b8b-88503b627178,1
d88829e8-5148-45aa-a32a-7e0145d1e5eb,2
c0e30e03-1bd6-457a-a453-4b1e1801bccf,1
7e37a7d3-5b10-48b8-afab-ac8f1bc6969e,3
0e44626e-9449-4674-85c3-921789e72429,4
