OfferID,ZoneID,TPNB
R30692477,13,055952223-002
R30692477,13,055952223-001
R30692478,12,057065400
R30692478,13,057065400
R30692478,12,057065400-001
R30692478,13,057065400-001
R30692479,12,051386790
R30692479,13,051386790
R30692479,12,051386790-002
R30692479,12,051386790-001
R30692479,13,051386790-002
R30692479,13,051386790-001
R30692480,12,054766900
R30692480,13,054766900
R30692480,12,054766900-002
R30692480,12,054766900-001
R30692480,13,054766900-002
R30692480,13,054766900-001
R30692481,12,061235689
R30692481,13,061235689
R30692481,12,061235689-001
R30692481,13,061235689-001
R30692482,12,053540028
R30692482,13,053540028
R30692483,12,053540218
R30692483,13,053540218
R30692484,12,053540040
R30692484,13,053540040
R30692485,12,053540247
R30692485,13,053540247
R30692486,12,053540190
R30692486,13,053540190
R30692487,12,053543463
R30692487,13,053543463
R30692488,12,066903526
R30692488,13,066903526
R30692489,12,066903496
R30692489,13,066903496
R30692490,12,060854656
R30692490,13,060854656-003
R30692490,13,060854656-002
R30692490,13,060854656-001
R30692490,13,060854656
R30692490,12,060854656-002
R30692490,12,060854656-001
R30692490,12,060854656-003
A30668329,8,074080344
A30668329,15,074080344
R30649249,12,073143330
R30649249,13,073143330
R30682426,12,071919303
R30692446,12,061654400
R30692446,13,061654400
R30692447,12,061654436
R30692447,13,061654436
R30692448,12,072171568
R30692448,13,072171568
R30692449,12,072172596
R30692449,13,072172596
R30692450,12,052348235-002
R30692450,12,052348235-001
R30692450,12,052348235-003
R30692450,12,052348235
R30692450,13,052348235
R30692450,13,052348235-002
R30692450,13,052348235-001
R30692450,13,052348235-003
R30692451,12,052348258-001
R30692451,12,052348258-002
R30692451,12,052348258
R30692451,13,052348258
R30692451,13,052348258-001
R30692451,13,052348258-002
R30692452,12,053010535-002
R30692452,12,053010535-001
R30692452,12,053010535-003
R30692452,12,053010535
R30692452,13,053010535
R30692452,13,053010535-002
R30692452,13,053010535-001
R30692452,13,053010535-003
R30692453,12,053010541-001
R30692453,12,053010541-002
R30692453,12,053010541
R30692453,13,053010541
R30692453,13,053010541-001
R30692453,13,053010541-002
R30692454,12,057590428-002
R30692454,12,057590428-001
R30692454,12,057590428-003
R30692454,12,057590428
R30692454,13,057590428
R30692454,13,057590428-002
R30692454,13,057590428-001
R30692454,13,057590428-003
R30692455,12,057590618-001
R30692455,12,057590618-002
R30692455,12,057590618
R30692455,13,057590618
R30692455,13,057590618-001
R30692455,13,057590618-002
R30692456,12,052261319-002
R30692456,12,052261319-001
R30692456,12,052261319-003
R30692456,12,052261319
R30692456,13,052261319
R30692456,13,052261319-002
R30692456,13,052261319-001
R30692456,13,052261319-003
R30692457,13,052260729
R30692457,13,052260729-002
R30692457,13,052260729-001
R30692457,13,052260729-003
R30692457,12,052260729-002
R30692457,12,052260729-001
R30692457,12,052260729-003
R30692457,12,052260729
R30692458,12,060851669
R30692458,13,060851669
R30692458,13,060851669-001
R30692458,13,060851669-002
R30692458,12,060851669-001
R30692458,12,060851669-002
R30692459,12,066902975
R30692459,13,066902975
R30692459,13,066902975-001
R30692459,12,066902975-001
R30692460,12,073341579
R30692460,13,073341579
R30692461,12,073341544
R30692461,13,073341544
R30692462,12,053287218
R30692462,13,053287218
R30692462,13,053287218-001
R30692462,12,053287218-001
R30692463,12,050933536
R30692463,13,050933536
R30692463,13,050933536-003
R30692463,13,050933536-002
R30692463,13,050933536-001
R30692463,13,050933536-004
R30692463,12,050933536-003
R30692463,12,050933536-002
R30692463,12,050933536-001
R30692463,12,050933536-004
R30692464,12,050945614
R30692464,13,050945614
R30692464,13,050945614-003
R30692464,13,050945614-002
R30692464,13,050945614-001
R30692464,13,050945614-004
R30692464,12,050945614-003
R30692464,12,050945614-002
R30692464,12,050945614-001
R30692464,12,050945614-004
R30692465,12,050931538
R30692465,13,050931538
R30692465,13,050931538-004
R30692465,13,050931538-003
R30692465,13,050931538-002
R30692465,13,050931538-001
R30692465,13,050931538-005
R30692465,12,050931538-004
R30692465,12,050931538-003
R30692465,12,050931538-002
R30692465,12,050931538-001
R30692465,12,050931538-005
R30692466,12,050930551
R30692466,13,050930551
R30692466,13,050930551-004
R30692466,13,050930551-003
R30692466,13,050930551-002
R30692466,13,050930551-001
R30692466,12,050930551-003
R30692466,12,050930551-002
R30692466,12,050930551-001
R30692466,12,050930551-004
R30648858,13,073143445
R30648858,12,073143445
A30656047,7,070542064
A30656047,6,070542064
A30656047,9,070542064
A30838145,7,073546717
A30838145,6,073546717
A30838145,5,073546717
A30838145,9,073546717
A30838149,5,061133274
A30838149,6,061133274
A30838149,7,061133274
A30838149,9,061133274
R30649267,13,073143376
R30649267,12,073143376
R30649211,13,073758737
R30649211,12,073758737
A30656299,6,074344972
A30656299,5,074344972
A30656299,7,074344972
A30656299,9,074344972
A30656300,6,074345003
A30656300,5,074345003
A30656300,7,074345003
A30656300,9,074345003
A30656301,6,074345055
A30656301,5,074345055
A30656301,7,074345055
A30656301,9,074345055
A30656302,6,074345084
A30656302,5,074345084
A30656302,7,074345084
A30656302,9,074345084
A30656303,6,074345562
A30656303,5,074345562
A30656303,7,074345562
A30656303,9,074345562
A30656304,6,074345884
A30656304,5,074345884
A30656304,7,074345884
A30656304,9,074345884
A30656305,5,074346019
A30656305,7,074346019
A30656305,6,074346019
A30656305,9,074346019
A30656306,5,074346100
A30656306,7,074346100
A30656306,6,074346100
A30656306,9,074346100
A30656307,5,074346175
A30656307,7,074346175
A30656307,6,074346175
A30656307,9,074346175
A30656309,5,074346296
A30656309,7,074346296
A30656309,6,074346296
A30656309,9,074346296
A30656310,5,074347358
A30656310,7,074347358
A30656310,6,074347358
A30656310,9,074347358
A30656311,5,074361939
A30656311,7,074361939
A30656311,6,074361939
A30656311,9,074361939
A30656312,5,074361968
A30656312,6,074361968
A30656312,9,074361968
A30656312,7,074361968
A30656313,5,074361974
A30656313,6,074361974
A30656313,9,074361974
A30656313,7,074361974
A30656314,5,074361980
A30656314,6,074361980
A30656314,9,074361980
A30656314,7,074361980
A30656315,5,074361997
A30656315,6,074361997
A30656315,9,074361997
A30656315,7,074361997
A30656316,5,074362005
A30656316,6,074362005
A30656316,9,074362005
A30656316,7,074362005
A30713872,7,056930046
A30713872,6,056930046
A30713872,5,056930046
A30713872,9,056930046-001
A30713872,9,056930046
A30713872,7,056930046-001
A30713872,6,056930046-001
A30713872,5,056930046-001
A30713873,7,056929855
A30713873,6,056929855
A30713873,5,056929855
A30713873,9,056929855-001
A30713873,9,056929855
A30713873,7,056929855-001
A30713873,6,056929855-001
A30713873,5,056929855-001
A30713874,7,056930000
A30713874,6,056930000
A30713874,5,056930000
A30713874,9,056930000-001
